inventory_item_id,card_name,inventory_value,legacy_displayed_price,asking_price,market_price,label_price,json_market_price,classification,proposed_game_id,proposed_game_label,game_mapping_basis,created_at,updated_at
"chaos-00790698e8b0403d92517d5458d21c29-a9172d038c754a40","Abzan Charm","0.38","0.38","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-aaa696c2809848ec","Runed Crown","0.32","0.32","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-ac262b4cc42b4cae","Cryptolith Fragment // Aurora of Emrakul","0.33","0.33","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-acc5d0f812674c99","Scrabbling Claws","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-aec31c07cebc4c62","Serum-Core Chimera","0.09","0.09","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-b4ba648d225d458f","Friendly Rivalry","0.15","0.15","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-b50dcae6428f4dc0","Sandstone Oracle","0.31","0.31","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-b549d0f4e2054782","Birthing Boughs","0.29","0.29","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-b71b1b34299f4700","Diregraf Rebirth","0.23","0.23","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-b7a27519200446df","Abzan Charm","0.18","0.18","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-ba2c2bcf4e4e458d","Extract from Darkness","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-bdf5408a0f87481a","Tainted Observer","0.26","0.26","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-c18bf2ce40b94903","Raugrin Crystal","0.17","0.17","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-c2a613e4c2724093","Shambling Remains","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-c9399d9b53174d37","Darksteel Ingot","0.33","0.33","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-cf01a4f5bcb84310","Botanical Brawler","0.31","0.31","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-d1b0ea3e56b04944","Everflowing Chalice","0.42","0.42","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-d2f2af67b38c46f2","Mindless Automaton","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-d47ac768b2ae4b23","Good-Fortune Unicorn","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-dc21ec1c40794784","Thran Golem","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-e0e1ace527e44fc8","Farmstead Gleaner","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-e345b939d3ea4ac7","Campaign of Vengeance","0.25","0.25","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-eae6e08db2e14217","Suspicious Bookcase","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-ed454ee2f3b94d60","Ugin's Construct","0.12","0.12","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-f0895b54af1145f4","Meteor Golem","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-f5877e144f804d6e","C.A.M.P.","0.27","0.27","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-fa3115d7ce2f4a26","Meteor Golem","0.25","0.25","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-fd462a14049344ab","Icehide Golem","0.38","0.38","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-0295f511b972473a","Quintorius, Field Historian","0.18","0.18","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-0595b0bc44074a1a","Shimmer Myr","0.42","0.42","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-06c37a744fd94985","Mind Stone","0.34","0.34","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-0dbb5817c73c46ae","Portal Manipulator","1.38","1.38","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-1019bb5b9c3745fb","Ruby, Daring Tracker","0.28","0.28","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-11487844c24948b6","Thrakkus the Butcher","0.35","0.35","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-19aa30e2ae2a4327","Thran Golem","0.14","0.14","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-1a759fbc8eb14766","Trepanation Blade","0.30","0.30","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-205c2aafbdc24077","Stonespeaker Crystal","0.44","0.44","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-20babf3918ba499d","Killian, Ink Duelist","0.36","0.36","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-258602e105c34999","Scepter of Empires","0.28","0.28","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-28192e2ccd414979","Koll, the Forgemaster","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-2c3e2717d15c4852","Gretchen Titchwillow","0.26","0.26","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-2c3f33de3ead4c38","Arcbound Slith","0.42","0.42","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-2cce0a0ea7514668","Narfi, Betrayer King","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-2d25289e6d074eb1","Elixir of Immortality","1.02","1.02","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-2e95755d2a184cc6","Mishra's Research Desk","0.23","0.23","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-354371ca9299474c","Golem's Heart","0.23","0.23","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-36bfb124f3314e46","Throne of Geth","1.54","1.54","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
"chaos-0abdfc33084d4dd0988f304a17dc5e58-39e3b8964706485b","Hallar, the Firefletcher","0.24","0.24","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-09 23:19:00.782149+00","2026-09-09 23:19:00.782149+00"
